ts,freeholdRacewayMallPower,freeholdRacewayMallSchOut,freeholdNJTemp,freeholdNJCondition
2019-06-29T02:00:00-04:00 New_York,309.11199951171875kW,false,70°F,partlyCloudy
2019-06-29T02:15:00-04:00 New_York,312.1481628417969kW,false,70°F,partlyCloudy
2019-06-29T02:30:00-04:00 New_York,306.4083557128906kW,false,70°F,partlyCloudy
2019-06-29T02:45:00-04:00 New_York,318.6186218261719kW,false,70°F,partlyCloudy
2019-06-29T03:00:00-04:00 New_York,309.8078308105469kW,false,70°F,partlyCloudy
2019-06-29T03:15:00-04:00 New_York,310.1266784667969kW,false,70.25°F,partlyCloudy
2019-06-29T03:30:00-04:00 New_York,312.67254638671875kW,false,70.5°F,partlyCloudy
2019-06-29T03:45:00-04:00 New_York,302.09893798828125kW,false,70.75°F,partlyCloudy
2019-06-29T04:00:00-04:00 New_York,305.3948059082031kW,false,71°F,partlyCloudy
2019-06-29T04:15:00-04:00 New_York,311.5099792480469kW,false,71°F,partlyCloudy
2019-06-29T04:30:00-04:00 New_York,301.8675537109375kW,false,71°F,partlyCloudy
